,true_is_max,true_dist_from_max,true_average_dist_from_max,true_average_dist,true_temp,random_choiceis_max,random_choicedist_from_max,random_choiceaverage_dist_from_max,random_choiceaverage_dist,random_choicetemp,random_probabilitiesis_max,random_probabilitiesdist_from_max,random_probabilitiesaverage_dist_from_max,random_probabilitiesaverage_dist,random_probabilitiestemp,best_is_max,best_dist_from_max,best_average_dist_from_max,best_average_dist,best_temp,all_one_is_max,all_one_dist_from_max,all_one_average_dist_from_max,all_one_average_dist,all_one_temp
40,1,1.0,0.7412923670958014,0.5929112351598843,0.8007374029168081,0,0.6065307102568488,0.6065307102568488,0.6065307102568488,0.7165313105737893,0,0.13533537346013486,0.13533537346013486,0.43571756884448376,0.513417119032592,1,1.0,0.7412923670958014,0.5457524866434625,0.8007374029168081,1,1.0,0.44240148979961186,0.44240148979961186,0.6411803884299546
41,0,0.22313032749602904,0.08658725059958501,0.08658725059958501,0.48030530108979935,0,0.5134172331252598,0.5134172331252598,0.5134172331252598,0.6703200460356393,0,0.22313032749602904,0.22313032749602904,0.4375580448115529,0.5488116360940265,0,0.22313032749602904,0.08658725059958501,0.08658725059958501,0.48030530108979935,1,1.0,0.45807454421634497,0.45807454421634497,0.6440364210831413
42,1,1.0,0.6593390361030604,0.6151119581164258,0.751477293075286,0,0.6703200996612344,0.6703200996612344,0.6703200996612344,0.751477293075286,0,0.8464817484039917,0.8464817484039916,0.5766970240337821,0.8668778997501816,1,1.0,0.6593390361030604,0.6151119581164258,0.751477293075286,1,1.0,0.5400890629816095,0.5400890629816095,0.6882340061733078
43,1,1.0,0.8102706892821296,0.6264767816898826,0.8439661792710139,0,0.2635971966928653,0.2635971966928653,0.2635971966928653,0.5647181220077593,0,0.7613004055720884,0.7613004055720884,0.3329031060630545,0.8071177470053893,1,1.0,0.8302636344869426,0.644087991190863,0.8580771848652875,1,1.0,0.32150428332196757,0.32150428332196757,0.5675068478211474
44,0,0.866877917441565,0.5649027518594696,0.4938014396261254,0.6996725373751304,1,1.0,1.0,1.0,1.0,0,0.7165313503810787,0.7165313503810787,0.4191228757487231,0.7788007830714049,1,1.0,0.5560118228960858,0.5027588763061763,0.6969015606581122,1,1.0,0.4229792521075874,0.4229792521075874,0.6065306597126334
45,0,0.7165313503810787,0.5455085718562992,0.41458655603851263,0.6872892787909722,0,0.1888757077684465,0.1888757077684465,0.1888757077684465,0.5352614285189903,0,0.3678795331412911,0.3678795331412911,0.4359727222662,0.6065306597126334,1,1.0,0.6748187008111269,0.5526849887524371,0.7627436097469505,1,1.0,0.43100821541285844,0.43100821541285844,0.6306920944221607
46,0,0.002478767049209162,0.002478767049209162,0.002478767049209162,0.42437284567695,0,0.4723666413097295,0.4723666413097295,0.4723666413097295,0.6514390575310556,0,0.2635972552699974,0.2635972552699974,0.2955072548240557,0.5647181220077593,0,0.002478767049209162,0.002478767049209162,0.002478767049209162,0.42437284567695,1,1.0,0.40522587549672373,0.40522587549672373,0.6166112715594098
47,0,0.7408182429062626,0.7408182429062626,0.6397051733879866,0.7939226578179512,0,0.10539928384893003,0.10539928384893003,0.10539928384893003,0.50041992036057,0,0.5352614703362857,0.5352614703362857,0.5166405351323785,0.6807123983233854,0,0.7408182429062626,0.7408182429062626,0.6674060711336797,0.7939226578179513,1,1.0,0.4970968578724861,0.4970968578724861,0.6634801052198982
48,1,1.0,0.6379980629936803,0.6446240194845677,0.7408182206817179,0,0.30119428419880717,0.30119428419880717,0.30119428419880717,0.5795782787848095,0,0.5647181681071931,0.5647181681071931,0.577704876274932,0.6951439283988787,1,1.0,1.0,0.6307803168443284,1.0,1,1.0,0.5260613485875931,0.5260613485875931,0.6809288066503895
49,1,1.0,1.0,0.7126872550443237,1.0,0,0.4168620652727886,0.4168620652727886,0.4168620652727886,0.6270890852730561,0,0.0015034440791604471,0.0015034440791604471,0.29008085946019846,0.4203503845086819,1,1.0,1.0,0.7284183706432269,1.0,1,1.0,0.3301949436536913,0.3301949436536913,0.5651485473848012
